evt-amer-001 | 1902-09-04 | 도미 출항과 태평양 항해 — 호 '도산(島山)' 작명 전승 | actors: 안창호, 이혜련 | orgs: 
evt-amer-002 | 1902-10-14 | 샌프란시스코 도착 — 최초의 한인 부부 합법 이민 | actors: 안창호, 이혜련 | orgs: 
evt-amer-003 | 1902-10-14 | 샌프란시스코 정착 초기 — 소학교 입학과 영어 수학 | actors: 안창호, 이혜련 | orgs: 
evt-amer-004 | 1902-10-14 | 한인 인삼 행상 갈등 중재와 생활 개선 운동 | actors: 안창호 | orgs: 
evt-amer-005 | 1903-09-01 | 샌프란시스코 한인친목회(상항친목회) 결성 — 회장 선출 | actors: 안창호, 이대위, 박영순, 김성무, 장경, 박선겸, 김병모, 전동삼, 김찬일, 박승지 | orgs: 한인친목회(상항친목회)
evt-amer-006 | 1904-03-23 | 리버사이드 이주 | actors: 안창호, 이혜련 | orgs: 
evt-amer-007 | 1904-03-23 | 파차파 캠프 형성 — 미주 최초의 한인촌('도산 공화국') | actors: 안창호 | orgs: 파차파 캠프
evt-amer-008 | 1904-06-01 | 한인노동국(Korean Labor Bureau) 설립 — 럼지의 1,500달러 대부 | actors: 안창호, 코닐리어스 럼지(Cornelius Earle Rumsey) | orgs: 한인노동국(Korean Labor Bureau)
evt-amer-009 | 1904-03-23 | 〔미확인-최초 출전〕 오렌지 농장 노동 훈화 — '오렌지 한 개를 따더라도 정성껏' | actors: 안창호 | orgs: 
evt-amer-010 | 1905-04-05 | 공립협회 창립 — 초대 회장 취임 | actors: 안창호, 송석준, 정재관, 임준기, 이강, 임치정, 방화중 | orgs: 공립협회
evt-amer-011 | 1905-11-22 | 공립신보 창간 — 사장 안창호 | actors: 안창호, 송석준 | orgs: 공립협회
evt-amer-012 | 1907-01-01 | 귀국 결정과 미주 고별 (1차 미주 체류 종료) | actors: 안창호, 이혜련 | orgs: 공립협회
evt-amer-013 | 1909-02-01 | 국민회 성립 — 공립협회와 하와이 한인합성협회의 합동 | actors:  | orgs: 국민회, 공립협회, 한인합성협회
evt-amer-014 | 1909-02-10 | 신한민보 창간 — 공립신보의 지령 승계 | actors:  | orgs: 국민회, 공립협회
evt-amer-015 | 1910-05-10 | 대한인국민회로 개칭 — 대동보국회 통합 | actors:  | orgs: 대한인국민회, 국민회, 대동보국회
evt-amer-016 | 1911-09-03 | 2차 미주 체류 시작 — 캘리포니아 재정착과 국민회 활동 재개 | actors: 안창호, 이혜련, 안필립 | orgs: 대한인국민회
evt-amer-017 | 1912-01-01 | 북미실업주식회사 발기·설립 | actors: 안창호, 김인수, 송종익, 김종혁, 조성환, 김기만, 정원도, 임준기, 손양선, 강번 | orgs: 북미실업주식회사
evt-amer-018 | 1912-11-08 | 대한인국민회 중앙총회 결성 — 제1차 대표원의회 참가와 총회장 선거 | actors: 안창호, 윤병구, 황사용 | orgs: 대한인국민회
evt-amer-019 | 1913-01-01 | 헤멧 밸리 사건 — 대한인국민회의 외교적 대응과 한인 지위의 사실상 승인 | actors: 이대위, 윌리엄 제닝스 브라이언(William Jennings Bryan) | orgs: 대한인국민회
evt-amer-020 | 1914-11-01 | 대한인국민회 중앙총회장 당선 | actors: 안창호 | orgs: 대한인국민회
evt-amer-021 | 1915-06-23 | 대한인국민회 중앙총회장 취임식 | actors: 안창호 | orgs: 대한인국민회
evt-amer-022 | 1917-10-01 | 멕시코 한인사회 순방 (약 10개월) | actors: 안창호 | orgs: 대한인국민회
evt-amer-023 | 1918-11-01 | 파리강화회의 파견 대표 3인 선출 — 중앙총회 전체회의 소집 | actors: 안창호, 이승만, 정한경, 민찬호 | orgs: 대한인국민회
evt-amer-024 | 1919-03-09 | 3·1운동 소식 접수와 안창호 특파 결정 (2차 미주 체류 종료 국면) | actors: 안창호 | orgs: 대한인국민회
evt-amer-025 | 1924-11-01 | 3차 도미 — 상하이 출발과 샌프란시스코 도착 | actors: 안창호 | orgs: 
evt-amer-026 | 1924-12-16 | 3차 미주 체류 활동 — 각지 순회, 임시정부 재정 지원 호소, 가족 재회 | actors: 안창호, 이혜련, 안필립, 안필선, 안수산, 안수라 | orgs: 대한인국민회
evt-amer-027 | 1926-02-01 | 3차 미주 체류 종료 — 미주 고별·중국 복귀 출발 결정 | actors: 안창호, 이혜련 | orgs: 
evt-amer-028 | 1884-04-21 | 이혜련(李惠鍊) 생애 — 미주 한인 여성 독립운동가 | actors: 이혜련, 안창호 | orgs: 대한여자애국단, 부인친애회
evt-amer-029 | 1919-03-01 | 이혜련의 부인친애회 조직과 대한여자애국단 창립 참여 | actors: 이혜련 | orgs: 부인친애회, 대한여자애국단, 대한인국민회
evt-amer-030 | 1905-03-29 | 장남 안필립(Philip Ahn) 출생 | actors: 안필립, 안창호, 이혜련 | orgs: 
evt-amer-031 | 1905-03-29 | 안필립의 생애 — 할리우드 최초의 한국계 미국인 배우 | actors: 안필립 | orgs: 
evt-amer-032 | 1912-07-05 | 차남 안필선(Philson Ahn)의 생애 — 항공우주 엔지니어 | actors: 안필선 | orgs: 
evt-amer-033 | 1915-01-16 | 장녀 안수산(Susan Ahn Cuddy)의 생애 — 미 해군 최초의 아시아계 여성 장교 | actors: 안수산 | orgs: 미국 해군
evt-amer-034 | 1917-05-27 | 차녀 안수라(Soorah Ahn Buffum)의 생애 — 문게이트 레스토랑 경영 | actors: 안수라 | orgs: 
evt-amer-035 | 1926-09-28 | 막내 안필영(Ralph Ahn) 출생과 생애 — 아버지가 만나지 못한 아들 | actors: 안필영 | orgs: 
evt-amer-036 | 1937-01-01 | 안 패밀리 하우스 거주 (1937–1946) — LA 한인 사회의 구심점 | actors: 이혜련, 안필립, 안필선, 안수산, 안수라, 안필영 | orgs: 
evt-chrono-001 | 1878-11-09 | 안창호 출생 | actors: 안창호, 안흥국 | orgs: 
evt-chrono-002 | 1886-01-01 | 대동군 노남리로 이주 | actors: 안창호 | orgs: 
evt-chrono-003 | 1886-01-01 | 서당 수학과 필대은과의 교유 | actors: 안창호, 필대은 | orgs: 
